epoch,train_ce,train_plr,train_acc,val_acc,val_nll,val_ece,val_brier
1,4.450073790821162,0.0,0.01987156723837622,0.0288,4.321715867519378,0.008990932255983353,0.981759786605835
2,4.1704177538102325,0.0,0.044379340278365736,0.0628,4.039180201292038,0.013723737560212612,0.972587525844574
3,3.9892947348681362,0.0,0.06882792771582237,0.0844,3.899691182374954,0.013962039723992348,0.96396803855896
4,3.902883829040961,0.0,0.08264036853374405,0.0974,3.8403068482875824,0.0181532334536314,0.9598835706710815
5,3.8301057503982023,0.0,0.09343927556818182,0.107,3.7723361015319825,0.0164711344987154,0.9536992311477661
6,3.769294123080644,0.0,0.10647983743745665,0.108,3.764760196208954,0.013444129377603531,0.9533206820487976
7,3.7112537249922752,0.0,0.11609996448863637,0.1256,3.6657872200012207,0.009765509516000748,0.9457497000694275
8,3.641933724284172,0.0,0.12681995738636365,0.142,3.5896418690681458,0.016065111383795738,0.9374142289161682
9,3.570852742953734,0.0,0.13950540561398322,0.1556,3.506319147348404,0.019369179382920265,0.9289492964744568
10,3.5023347064852715,0.0,0.15230675901032306,0.163,3.4698113799095154,0.029084406793117523,0.9281414747238159
11,3.439740651033141,0.0,0.16506125710227273,0.17,3.4406049728393553,0.023624278604984283,0.9216923117637634
12,3.38259092989293,0.0,0.17614129579372026,0.1908,3.3326778769493104,0.02459491603076458,0.9095214009284973
13,3.3358268202705816,0.0,0.18329535589807414,0.195,3.296013605594635,0.03177681937813759,0.9062146544456482
14,3.285338237204335,0.0,0.19405480584299023,0.204,3.2519712269306185,0.033754732459783554,0.8981754779815674
15,3.239834109490568,0.0,0.20326803188601678,0.2194,3.1935740530490877,0.02907378412783146,0.8910080194473267
16,3.199581556022167,0.0,0.21104600695385176,0.2304,3.1601901948451996,0.038490522652864456,0.887702226638794
17,3.159690214151686,0.0,0.21738626503131606,0.2288,3.121889293193817,0.0274481363594532,0.8824931383132935
18,3.1177945360541344,0.0,0.2264712555333972,0.2422,3.0699540257453917,0.04563436657190323,0.8746374845504761
19,3.086945430798964,0.0,0.23176836730404335,0.241,3.0903262913227083,0.0407567173242569,0.8757637739181519
20,3.0438644913109867,0.0,0.24020724828270348,0.2594,3.000966227054596,0.027108056470751762,0.862489640712738
