seed,ce_acc,plr_acc,ce_nll,plr_nll,ce_ece,plr_ece,ce_brier,plr_brier
0,0.9784,0.9801,0.06914299915845305,0.12629309857759294,0.0035067531280219555,0.06897953897714615,0.033561188727617264,0.04010869562625885
1,0.9791,0.9783,0.06646794541274739,0.11215693779478345,0.0022612405009567738,0.048965662717819214,0.03206269443035126,0.03854252025485039
2,0.9768,0.9764,0.07626224876067578,0.12311438089118729,0.004669461399316788,0.05646655708551407,0.03598710894584656,0.04214177280664444
3,0.9782,0.9779,0.06845289786033851,0.1240506432243163,0.0031610806472599506,0.05970650911331177,0.03297143429517746,0.0416301004588604
4,0.9782,0.9784,0.07191463181663517,0.12895898511515388,0.0030281569343060255,0.06819534301757812,0.034814272075891495,0.041329991072416306
