seed,ce_acc,plr_acc,ce_nll,plr_nll,ce_ece,plr_ece,ce_brier,plr_brier
0,0.4991,0.484,1.8423809597763834,1.9341840321504618,0.027181847020983696,0.03676093369722366,0.6328001022338867,0.6567082405090332
1,0.4665,0.4474,1.9824501487273205,2.0716632483880733,0.015148842707276344,0.025098081678152084,0.6694839000701904,0.690284788608551
4,0.4907,0.4595,1.8904704730721968,2.015318784532668,0.014671015553176403,0.01382091548293829,0.6467986106872559,0.6745822429656982
5,0.5209,0.4967,1.7684909980508345,1.8572398544866828,0.029682133346796036,0.011488975957036018,0.6155132055282593,0.6372222304344177
6,0.4684,0.4562,1.9817000823684885,2.051898437210276,0.02975166030228138,0.013166103512048721,0.6668016910552979,0.6823816895484924
8,0.5059,0.4753,1.8345610235310807,1.962035305892365,0.030846336856484413,0.029428210109472275,0.6321725249290466,0.6630255579948425
9,0.4953,0.4722,1.8743888622597804,1.9891094844552535,0.012603569775819778,0.027485506609082222,0.639653742313385,0.6688766479492188
